,brawlername,event.mode,event.map,d,n,y,total_games,winrate,total_games_map,userate,percentile_quadrant
814,DARRYL,gemGrab,Double Swoosh,0,172,135,307,0.43973941368078173,51096,0.006008298105526852,Q3
815,DARRYL,gemGrab,Gem Fort,0,82,62,144,0.4305555555555556,18906,0.007616629641383688,Q3
816,DARRYL,gemGrab,Hard Rock Mine,0,208,193,401,0.48129675810473815,52902,0.007580053684170731,Q4
817,DARRYL,gemGrab,Minecart Madness,0,98,84,182,0.46153846153846156,40818,0.004458817188495272,Q3
818,DARRYL,gemGrab,Undermine,0,140,98,238,0.4117647058823529,33870,0.007026867434307647,Q3
819,DARRYL,heist,Bridge Too Far,1,239,241,481,0.501039501039501,45486,0.010574682319834675,Q1
820,DARRYL,heist,Hot Potato,0,449,523,972,0.5380658436213992,19140,0.05078369905956113,Q1
821,DARRYL,heist,Kaboom Canyon,1,112,85,198,0.4292929292929293,12288,0.01611328125,Q2
822,DARRYL,heist,Pit Stop,2,745,941,1688,0.5574644549763034,22482,0.07508228805266436,Q1
823,DARRYL,heist,Safe Zone,1,195,180,376,0.4787234042553192,26196,0.014353336387234692,Q1
824,DARRYL,heist,Snaked Assault,3,466,555,1024,0.5419921875,27510,0.037222828062522716,Q1
825,DARRYL,heist,Tornado Ring,4,505,642,1151,0.5577758470894874,28224,0.040780895691609975,Q1
826,DARRYL,hotZone,Controller Chaos,0,79,48,127,0.3779527559055118,19152,0.006631161236424394,Q3
827,DARRYL,hotZone,Dueling Beetles,0,73,38,111,0.34234234234234234,32208,0.0034463487332339793,Q3
828,DARRYL,hotZone,Open Zone,0,23,13,36,0.3611111111111111,17556,0.002050580997949419,Q3
829,DARRYL,hotZone,Parallel Plays,0,13,7,20,0.35,4602,0.004345936549326379,Q3
830,DARRYL,hotZone,Quarter Pounder,0,99,31,130,0.23846153846153847,34110,0.0038111990618586926,Q3
831,DARRYL,hotZone,Ring of Fire,0,59,68,127,0.5354330708661418,24894,0.005101630915079939,Q4
832,DARRYL,hotZone,Split,0,138,192,330,0.5818181818181818,29244,0.011284366023799754,Q1
833,DARRYL,knockout,Belle's Rock,0,83,40,123,0.3252032520325203,54234,0.0022679499944684147,Q3
834,DARRYL,knockout,Flaring Phoenix,0,42,25,67,0.373134328358209,20676,0.003240472044882956,Q3
835,DARRYL,knockout,Goldarm Gulch,0,12,16,28,0.5714285714285714,6720,0.004166666666666667,Q4
836,DARRYL,knockout,New Perspective,0,71,74,145,0.5103448275862069,32994,0.004394738437291629,Q4
837,DARRYL,knockout,Out in the Open,0,57,24,81,0.2962962962962963,51246,0.0015806111696522655,Q3
838,DARRYL,knockout,Riverside,0,40,15,55,0.2727272727272727,31974,0.0017201476199412023,Q3
839,DARRYL,knockout,X Marks the Spot,0,71,37,108,0.3425925925925926,43602,0.0024769505985963946,Q3
840,DYNAMIKE,bounty,Canal Grande,0,294,128,422,0.3033175355450237,20526,0.020559290655753678,Q2
841,DYNAMIKE,bounty,Dry Season,0,101,38,139,0.2733812949640288,29460,0.00471826205023761,Q3
842,DYNAMIKE,bounty,Excel,0,218,149,367,0.40599455040871935,17316,0.021194271194271194,Q2
843,DYNAMIKE,bounty,Hideout,0,83,28,111,0.25225225225225223,11538,0.009620384815392615,Q2
844,DYNAMIKE,bounty,Layer Cake,0,285,167,452,0.3694690265486726,19848,0.022773075372833535,Q2
845,DYNAMIKE,bounty,Shooting Star,0,58,19,77,0.24675324675324675,21186,0.0036344755970924196,Q3
846,DYNAMIKE,bounty,Temple Ruins,0,32,21,53,0.39622641509433965,7824,0.00677402862985685,Q3
847,DYNAMIKE,brawlBall,Backyard Bowl,11,719,328,1058,0.31001890359168244,133578,0.007920465944990941,Q3
848,DYNAMIKE,brawlBall,Beach Ball,64,2166,1907,4137,0.4609620497945371,88080,0.04696866485013624,Q2
849,DYNAMIKE,brawlBall,Center Stage,24,1307,753,2084,0.3613243761996161,170286,0.012238234499606544,Q2
850,DYNAMIKE,brawlBall,Pinhole Punt,29,1181,667,1877,0.35535428875865743,154962,0.012112646971515597,Q2
851,DYNAMIKE,brawlBall,Sneaky Fields,16,1164,773,1953,0.39580133128520223,118884,0.016427778338548502,Q2
852,DYNAMIKE,brawlBall,Sunny Soccer,46,2089,1920,4055,0.47348951911220716,74093,0.054728516863941264,Q2
853,DYNAMIKE,brawlBall,Super Beach,146,5625,5523,11294,0.48902071896582255,199884,0.05650277160753237,Q1
854,DYNAMIKE,gemGrab,Crystal Arcade,0,208,112,320,0.35,29454,0.01086439872343315,Q2
855,DYNAMIKE,gemGrab,Deep Diner,0,653,679,1332,0.5097597597597597,42288,0.031498297389330306,Q1
856,DYNAMIKE,gemGrab,Double Swoosh,0,253,155,408,0.3799019607843137,51096,0.007984969469234382,Q3
857,DYNAMIKE,gemGrab,Gem Fort,0,89,53,142,0.3732394366197183,18906,0.007510843118586692,Q3
858,DYNAMIKE,gemGrab,Hard Rock Mine,0,258,138,396,0.3484848484848485,52902,0.00748553929908132,Q3
859,DYNAMIKE,gemGrab,Minecart Madness,0,328,190,518,0.3667953667953668,40818,0.012690479690332697,Q2
860,DYNAMIKE,gemGrab,Undermine,0,239,128,367,0.34877384196185285,33870,0.010835547682314733,Q2
861,DYNAMIKE,heist,Bridge Too Far,0,104,32,136,0.23529411764705882,45486,0.002989930967770303,Q3
862,DYNAMIKE,heist,Hot Potato,2,851,934,1787,0.5226636821488528,19140,0.09336468129571578,Q1
863,DYNAMIKE,heist,Kaboom Canyon,0,109,30,139,0.2158273381294964,12288,0.011311848958333334,Q2
864,DYNAMIKE,heist,Pit Stop,0,1012,809,1821,0.4442613948380011,22482,0.08099813183880437,Q2
865,DYNAMIKE,heist,Safe Zone,0,126,52,178,0.29213483146067415,26196,0.006794930523744083,Q3
866,DYNAMIKE,heist,Snaked Assault,3,372,151,526,0.2870722433460076,27510,0.01912031988367866,Q2
867,DYNAMIKE,heist,Tornado Ring,7,368,218,593,0.3676222596964587,28224,0.02101048752834467,Q2
868,DYNAMIKE,hotZone,Controller Chaos,0,489,364,853,0.42672919109026963,19152,0.04453842940685046,Q2
869,DYNAMIKE,hotZone,Dueling Beetles,1,374,137,512,0.267578125,32208,0.015896671634376552,Q2
870,DYNAMIKE,hotZone,Open Zone,0,56,14,70,0.2,17556,0.003987240829346092,Q3
871,DYNAMIKE,hotZone,Parallel Plays,0,60,33,93,0.3548387096774194,4602,0.020208604954367666,Q2
872,DYNAMIKE,hotZone,Quarter Pounder,2,802,790,1594,0.49560853199498117,34110,0.04673116388155966,Q1
873,DYNAMIKE,hotZone,Ring of Fire,0,110,24,134,0.1791044776119403,24894,0.005382823170241825,Q3
874,DYNAMIKE,hotZone,Split,0,1777,1771,3548,0.4991544532130778,29244,0.12132403228012584,Q1
875,DYNAMIKE,knockout,Belle's Rock,0,780,408,1188,0.3434343434343434,54234,0.02190507799535347,Q2
876,DYNAMIKE,knockout,Flaring Phoenix,0,191,118,309,0.3818770226537217,20676,0.014944863609982588,Q2
877,DYNAMIKE,knockout,Goldarm Gulch,0,40,20,60,0.3333333333333333,6720,0.008928571428571428,Q2
878,DYNAMIKE,knockout,New Perspective,0,310,188,498,0.37751004016064255,32994,0.015093653391525732,Q2
879,DYNAMIKE,knockout,Out in the Open,1,217,122,340,0.3588235294117647,51246,0.006634664168910744,Q3
880,DYNAMIKE,knockout,Riverside,0,77,40,117,0.3418803418803419,31974,0.003659223118784012,Q3
881,DYNAMIKE,knockout,X Marks the Spot,0,277,126,403,0.31265508684863524,43602,0.009242695289206918,Q2
882,EDGAR,bounty,Canal Grande,0,129,91,220,0.41363636363636364,20526,0.010718113612004287,Q2
883,EDGAR,bounty,Dry Season,0,59,37,96,0.3854166666666667,29460,0.003258655804480652,Q3
884,EDGAR,bounty,Excel,0,101,63,164,0.38414634146341464,17316,0.009471009471009472,Q2
885,EDGAR,bounty,Hideout,0,24,6,30,0.2,11538,0.0026001040041601664,Q3
886,EDGAR,bounty,Layer Cake,0,126,48,174,0.27586206896551724,19848,0.008766626360338573,Q2
887,EDGAR,bounty,Shooting Star,0,25,11,36,0.3055555555555556,21186,0.0016992353440951572,Q3
888,EDGAR,bounty,Temple Ruins,0,46,31,77,0.4025974025974026,7824,0.009841513292433537,Q2
889,EDGAR,brawlBall,Backyard Bowl,2,332,164,498,0.3293172690763052,133578,0.0037281588285496114,Q3
890,EDGAR,brawlBall,Beach Ball,11,440,247,698,0.3538681948424069,88080,0.007924613987284288,Q3
891,EDGAR,brawlBall,Center Stage,14,838,650,1502,0.43275632490013316,170286,0.008820454999236579,Q2
892,EDGAR,brawlBall,Pinhole Punt,9,559,329,897,0.36677814938684505,154962,0.005788515894219228,Q3
893,EDGAR,brawlBall,Sneaky Fields,8,675,519,1202,0.4317803660565724,118884,0.010110696140775883,Q2
894,EDGAR,brawlBall,Sunny Soccer,5,350,273,628,0.43471337579617836,74093,0.00847583442430459,Q3
895,EDGAR,brawlBall,Super Beach,19,914,617,1550,0.39806451612903226,199884,0.007754497608612996,Q3
896,EDGAR,gemGrab,Crystal Arcade,0,92,72,164,0.43902439024390244,29454,0.005568004345759489,Q3
897,EDGAR,gemGrab,Deep Diner,0,148,102,250,0.408,42288,0.005911842603102535,Q3
898,EDGAR,gemGrab,Double Swoosh,0,164,92,256,0.359375,51096,0.005010176921872554,Q3
899,EDGAR,gemGrab,Gem Fort,0,98,74,172,0.43023255813953487,18906,0.009097640960541628,Q2
900,EDGAR,gemGrab,Hard Rock Mine,0,195,102,297,0.3434343434343434,52902,0.00561415447431099,Q3
901,EDGAR,gemGrab,Minecart Madness,0,152,67,219,0.3059360730593607,40818,0.005365280023519036,Q3
902,EDGAR,gemGrab,Undermine,0,114,69,183,0.3770491803278688,33870,0.005403011514614703,Q3
903,EDGAR,heist,Bridge Too Far,0,88,33,121,0.2727272727272727,45486,0.002660159169854461,Q3
904,EDGAR,heist,Hot Potato,0,236,223,459,0.485838779956427,19140,0.023981191222570534,Q1
905,EDGAR,heist,Kaboom Canyon,0,103,45,148,0.30405405405405406,12288,0.012044270833333334,Q2
906,EDGAR,heist,Pit Stop,1,684,863,1548,0.5574935400516796,22482,0.0688550840672538,Q1
907,EDGAR,heist,Safe Zone,0,88,39,127,0.30708661417322836,26196,0.004848068407390441,Q3
908,EDGAR,heist,Snaked Assault,2,308,193,503,0.3836978131212724,27510,0.018284260268993092,Q2
909,EDGAR,heist,Tornado Ring,3,298,208,509,0.4086444007858546,28224,0.018034297052154195,Q2
910,EDGAR,hotZone,Controller Chaos,0,77,36,113,0.3185840707964602,19152,0.00590016708437761,Q3
911,EDGAR,hotZone,Dueling Beetles,0,78,27,105,0.2571428571428571,32208,0.0032600596125186287,Q3
912,EDGAR,hotZone,Open Zone,0,19,9,28,0.32142857142857145,17556,0.001594896331738437,Q3
913,EDGAR,hotZone,Parallel Plays,0,24,7,31,0.22580645161290322,4602,0.006736201651455889,Q3
914,EDGAR,hotZone,Quarter Pounder,1,136,25,162,0.15432098765432098,34110,0.00474934036939314,Q3
915,EDGAR,hotZone,Ring of Fire,0,33,12,45,0.26666666666666666,24894,0.0018076644974692696,Q3
916,EDGAR,hotZone,Split,0,300,235,535,0.4392523364485981,29244,0.01829435097797839,Q2
917,EDGAR,knockout,Belle's Rock,1,568,349,918,0.3801742919389978,54234,0.01692665117822768,Q2
918,EDGAR,knockout,Flaring Phoenix,0,182,112,294,0.38095238095238093,20676,0.014219384793964016,Q2
919,EDGAR,knockout,Goldarm Gulch,0,61,24,85,0.2823529411764706,6720,0.012648809523809524,Q2
920,EDGAR,knockout,New Perspective,1,236,127,364,0.3489010989010989,32994,0.01103230890464933,Q2
921,EDGAR,knockout,Out in the Open,1,206,109,316,0.3449367088607595,51246,0.006166334933458221,Q3
922,EDGAR,knockout,Riverside,1,104,40,145,0.27586206896551724,31974,0.004534934634390442,Q3
923,EDGAR,knockout,X Marks the Spot,0,207,91,298,0.3053691275167785,43602,0.006834548873904867,Q3
924,EL PRIMO,bounty,Canal Grande,0,61,23,84,0.27380952380952384,20526,0.0040923706518561824,Q3
925,EL PRIMO,bounty,Dry Season,0,27,14,41,0.34146341463414637,29460,0.0013917175831636116,Q3
926,EL PRIMO,bounty,Excel,0,24,26,50,0.52,17316,0.0028875028875028877,Q4
927,EL PRIMO,bounty,Hideout,0,9,2,11,0.18181818181818182,11538,0.000953371468192061,Q3
928,EL PRIMO,bounty,Layer Cake,0,35,27,62,0.43548387096774194,19848,0.003123740427247078,Q3
929,EL PRIMO,bounty,Shooting Star,0,9,2,11,0.18181818181818182,21186,0.0005192107995846313,Q3
930,EL PRIMO,bounty,Temple Ruins,0,22,2,24,0.08333333333333333,7824,0.003067484662576687,Q3
931,EL PRIMO,brawlBall,Backyard Bowl,23,1079,757,1859,0.4072081764389457,133578,0.01391696237404363,Q2
932,EL PRIMO,brawlBall,Beach Ball,26,1514,1134,2674,0.42408376963350786,88080,0.03035876475930972,Q2
933,EL PRIMO,brawlBall,Center Stage,93,3800,3543,7436,0.47646584185045726,170286,0.04366771196692623,Q1
934,EL PRIMO,brawlBall,Pinhole Punt,41,1976,1507,3524,0.427639046538025,154962,0.0227410590983596,Q2
935,EL PRIMO,brawlBall,Sneaky Fields,44,3022,2676,5742,0.4660397074190178,118884,0.04829918239628545,Q2
936,EL PRIMO,brawlBall,Sunny Soccer,27,1397,1194,2618,0.4560733384262796,74093,0.035333972170110535,Q2
937,EL PRIMO,brawlBall,Super Beach,66,3286,2874,6226,0.4616125923546418,199884,0.031148065878209362,Q2
938,EL PRIMO,gemGrab,Crystal Arcade,0,87,63,150,0.42,29454,0.005092686901609289,Q3
939,EL PRIMO,gemGrab,Deep Diner,0,116,63,179,0.35195530726256985,42288,0.004232879303821415,Q3
940,EL PRIMO,gemGrab,Double Swoosh,0,256,137,393,0.3486005089058524,51096,0.007691404415218412,Q3
941,EL PRIMO,gemGrab,Gem Fort,0,110,82,192,0.4270833333333333,18906,0.010155506188511583,Q2
942,EL PRIMO,gemGrab,Hard Rock Mine,0,231,203,434,0.46774193548387094,52902,0.00820384862576084,Q3
943,EL PRIMO,gemGrab,Minecart Madness,0,136,76,212,0.3584905660377358,40818,0.0051937870547307564,Q3
944,EL PRIMO,gemGrab,Undermine,0,120,69,189,0.36507936507936506,33870,0.005580159433126661,Q3
945,EL PRIMO,heist,Bridge Too Far,0,138,47,185,0.25405405405405407,45486,0.004067185507628721,Q3
946,EL PRIMO,heist,Hot Potato,1,237,188,426,0.4413145539906103,19140,0.02225705329153605,Q2
947,EL PRIMO,heist,Kaboom Canyon,1,69,27,97,0.27835051546391754,12288,0.007893880208333334,Q3
948,EL PRIMO,heist,Pit Stop,2,532,661,1195,0.5531380753138075,22482,0.05315363401832577,Q1
949,EL PRIMO,heist,Safe Zone,0,101,69,170,0.40588235294117647,26196,0.006489540387845473,Q3
950,EL PRIMO,heist,Snaked Assault,0,400,266,666,0.3993993993993994,27510,0.02420937840785169,Q2
951,EL PRIMO,heist,Tornado Ring,2,398,301,701,0.42938659058487877,28224,0.02483701814058957,Q2
952,EL PRIMO,hotZone,Controller Chaos,0,118,44,162,0.2716049382716049,19152,0.008458646616541353,Q3
953,EL PRIMO,hotZone,Dueling Beetles,0,115,27,142,0.19014084507042253,32208,0.004408842523596622,Q3
954,EL PRIMO,hotZone,Open Zone,0,27,6,33,0.18181818181818182,17556,0.0018796992481203006,Q3
955,EL PRIMO,hotZone,Parallel Plays,0,22,5,27,0.18518518518518517,4602,0.005867014341590613,Q3
956,EL PRIMO,hotZone,Quarter Pounder,0,140,27,167,0.16167664670658682,34110,0.004895924948695397,Q3
957,EL PRIMO,hotZone,Ring of Fire,0,61,74,135,0.5481481481481482,24894,0.005422993492407809,Q4
958,EL PRIMO,hotZone,Split,0,236,140,376,0.3723404255319149,29244,0.012857338257420326,Q2
959,EL PRIMO,knockout,Belle's Rock,0,82,44,126,0.3492063492063492,54234,0.0023232658479920344,Q3
960,EL PRIMO,knockout,Flaring Phoenix,1,50,21,72,0.2916666666666667,20676,0.003482298316889147,Q3
961,EL PRIMO,knockout,Goldarm Gulch,0,13,11,24,0.4583333333333333,6720,0.0035714285714285713,Q3
962,EL PRIMO,knockout,New Perspective,0,63,32,95,0.3368421052631579,32994,0.002879311389949688,Q3
963,EL PRIMO,knockout,Out in the Open,0,62,30,92,0.32608695652173914,51246,0.001795262069234672,Q3
964,EL PRIMO,knockout,Riverside,0,35,11,46,0.2391304347826087,31974,0.0014386689184962783,Q3
965,EL PRIMO,knockout,X Marks the Spot,0,54,22,76,0.2894736842105263,43602,0.0017430393101233888,Q3
966,EMZ,bounty,Canal Grande,0,87,53,140,0.37857142857142856,20526,0.006820617753093637,Q3
967,EMZ,bounty,Dry Season,0,24,8,32,0.25,29460,0.0010862186014935506,Q3
968,EMZ,bounty,Excel,0,22,8,30,0.26666666666666666,17316,0.0017325017325017325,Q3
969,EMZ,bounty,Hideout,0,9,4,13,0.3076923076923077,11538,0.001126711735136072,Q3
970,EMZ,bounty,Layer Cake,0,49,12,61,0.19672131147540983,19848,0.0030733575171301895,Q3
971,EMZ,bounty,Shooting Star,0,17,5,22,0.22727272727272727,21186,0.0010384215991692627,Q3
972,EMZ,bounty,Temple Ruins,0,44,41,85,0.4823529411764706,7824,0.0108640081799591,Q1
973,EMZ,brawlBall,Backyard Bowl,16,385,229,630,0.3634920634920635,133578,0.004716345505996497,Q3
974,EMZ,brawlBall,Beach Ball,14,528,501,1043,0.48034515819750717,88080,0.011841507720254314,Q1
