,brawlername,event.mode,event.map,total_games,total_draws,total_wins,winrate
1501,EVE,brawlBall,Pinhole Punt,49,0.0,45.0,0.9183673469387755
1502,EVE,brawlBall,Center Stage,23,0.0,18.0,0.782608695652174
1503,EVE,brawlBall,Beach Ball,17,0.0,13.0,0.7647058823529411
1504,EVE,brawlBall,Backyard Bowl,46,0.0,40.0,0.8695652173913043
1505,EVE,bounty,Shooting Star,51,0.0,39.0,0.7647058823529411
1506,EVE,bounty,Layer Cake,6,0.0,4.0,0.6666666666666666
1507,EVE,bounty,Hideout,13,0.0,13.0,1.0
1508,EVE,bounty,Excel,1,0.0,1.0,1.0
1509,EVE,bounty,Dry Season,24,0.0,17.0,0.7083333333333334
1510,EVE,bounty,Canal Grande,5,0.0,4.0,0.8
1511,EMZ,knockout,X Marks the Spot,5,0.0,5.0,1.0
1512,EMZ,knockout,Riverside,1,0.0,0.0,0.0
1513,EMZ,knockout,Out in the Open,4,0.0,4.0,1.0
1514,EMZ,knockout,New Perspective,5,0.0,5.0,1.0
1515,EMZ,knockout,Goldarm Gulch,3,0.0,3.0,1.0
1516,EMZ,hotZone,Split,11,0.0,11.0,1.0
1517,EMZ,hotZone,Ring of Fire,24,0.0,21.0,0.875
1518,EMZ,hotZone,Quarter Pounder,50,0.0,47.0,0.94
1519,EMZ,hotZone,Parallel Plays,46,0.0,43.0,0.9347826086956522
1520,EMZ,hotZone,Open Zone,19,0.0,18.0,0.9473684210526315
1521,EMZ,hotZone,Dueling Beetles,70,0.0,64.0,0.9142857142857143
1522,EMZ,hotZone,Controller Chaos,228,0.0,194.0,0.8508771929824561
1523,EMZ,heist,Tornado Ring,465,4.0,372.0,0.8
1524,EMZ,heist,Snaked Assault,224,0.0,166.0,0.7410714285714286
1525,EMZ,heist,Safe Zone,2,0.0,2.0,1.0
1526,EMZ,heist,Pit Stop,108,0.0,78.0,0.7222222222222222
1527,EMZ,heist,Kaboom Canyon,16,0.0,16.0,1.0
1528,EMZ,heist,Hot Potato,81,0.0,67.0,0.8271604938271605
1529,EMZ,heist,Bridge Too Far,1,0.0,1.0,1.0
1530,EMZ,gemGrab,Undermine,93,0.0,71.0,0.7634408602150538
1531,EMZ,gemGrab,Minecart Madness,39,0.0,35.0,0.8974358974358975
1532,EMZ,gemGrab,Hard Rock Mine,11,0.0,10.0,0.9090909090909091
1533,EMZ,gemGrab,Gem Fort,52,0.0,31.0,0.5961538461538461
1534,EMZ,gemGrab,Double Swoosh,137,0.0,104.0,0.7591240875912408
1535,EMZ,gemGrab,Deep Diner,41,0.0,35.0,0.8536585365853658
